Mean,Stdev,Term1,Term2,CUI1,CUI2
1109,484.7274148,acetylcysteine,tylenol,C0001047,C0000970
586.5,549.6262366,acetylcysteine,adenosine,C0001047,C0001443
604.75,214.2792182,zovirax,paxil,C0001367,C0070122
680.5,457.3499754,adenitis,stridor,C0001416,C0038450
1359.5,123.7807201,agranulocytosis,anemia,C0001824,C0002871
1238,156.9352308,agranulocytosis,leukopenia,C0001824,C0023530
1230.25,305.3865037,agranulocytosis,myelosuppression,C0001824,C0854467
1011,358.6660471,albumin,heparin,C0001924,C0019134
1165.5,612.4423782,albuterol,singulair,C0001927,C0298130
1514.5,111.1470497,ethanol,alcohol,C0001962,C0001975
1244,304.730482,alcohol,antabuse,C0001975,C0012772
1406.5,130.8166656,allopurinol,colchicine,C0002144,C0009262
1034,251.3801902,xanax,ativan,C0002333,C0024002
1274.75,298.3324488,amantadine,tamiflu,C0002403,C0874161
926.5,420.1464031,anemia,coumadin,C0002871,C0043031
1375.5,161.0434724,anemia,iron,C0002871,C0060277
1187,266.091463,anemia,reticulocytosis,C0002871,C0206160
275.5,106.2026365,aneurysm,osteoporosis,C0002940,C0029456
553.5,526.5361653,angina,diarrhea,C0002962,C0011991
1364,86.97125962,angina,dyspnea,C0002962,C0013404
1139,485.0972411,angina,heartburn,C0002962,C0018834
1256,140.4635184,angina,toprol,C0002962,C0025859
494.75,212.303831,angina,activase,C0002962,C0032143
1294.75,79.93069915,angina,plavix,C0002962,C0070166
1208.5,123.2734089,anosmia,aphonia,C0003126,C0003564
391,274.3027524,anosmia,constipation,C0003126,C0009806
431.25,351.048311,anosmia,catch,C0003126,C0231617
1332,220.6399782,anovulation,amenorrhoea,C0003128,C0002453
619.75,382.0971735,anovulation,sinemet,C0003128,C0006982
535.25,566.7270801,anovulation,emaciation,C0003128,C0013911
460.75,401.9049432,anovulation,torticollis,C0003128,C0040485
1006,476.6529136,anovulation,mittelschmerz,C0003128,C0152149
444.75,279.2649578,anoxia,ataxia,C0003129,C0004134
1285,150.4415723,anoxia,seizures,C0003129,C0036572
879.75,359.602906,appendicitis,cefazolin,C0003615,C0007546
1263,184.2082155,appendicitis,peritonitis,C0003615,C0031154
1277,228.2075079,arthralgia,tylenol,C0003862,C0000970
917.5,576.5191526,arthralgia,clubbing,C0003862,C0149651
670,242.7440353,arthralgia,chyluria,C0003862,C0159075
1127.25,157.01035,arthritis,amyloidoses,C0003864,C0002726
1254,208.745459,arthritis,metatarsalgia,C0003864,C0025587
1340,154.5423351,arthritis,rheumatism,C0003864,C0035435
815.5,484.6679276,asthenia,cachexia,C0004093,C0006625
1273,153.7920674,asthenia,weakness,C0004093,C1883552
262.75,123.7857692,asthma,urolithiasis,C0004096,C0451641
1387.25,99.68408432,ataxia,ethanol,C0004134,C0001962
543.25,463.6905398,ataxia,constipation,C0004134,C0009806
488.5,255.6905682,ataxia,ketamine,C0004134,C0022614
895.5,549.2713355,atenolol,lasix,C0004147,C0016860
1182.25,247.8162962,atenolol,toprol,C0004147,C0025859
1357.75,106.8998753,atherosclerosis,angina,C0004153,C0002962
618.5,513.6850527,atherosclerosis,heartburn,C0004153,C0018834
416,304.1611415,atherosclerosis,influenzae,C0004153,C0021400
455,241.5298463,atherosclerosis,toothache,C0004153,C0040460
296.25,126.2124532,bleomycin,antabuse,C0005740,C0012772
588,368.4019544,blepharospasm,mittelschmerz,C0005747,C0152149
261,155.2202736,blepharospasm,bedwetting,C0005747,C0270327
582,285.1748002,bronchitis,loperamide,C0006277,C0023992
1066.5,301.6714548,bronchitis,pneumonia,C0006277,C0032285
702.5,347.7628502,bronchitis,singulair,C0006277,C0298130
297.5,66.79570844,brucellosis,narcan,C0006309,C0027358
1214,314.8523463,brucellosis,zoonosis,C0006309,C0043528
774.75,446.0234486,candidiasis,medrol,C0006840,C0025815
1161.25,269.3230712,candidiasis,mycosis,C0006840,C0026946
1463,157.3975858,carsickness,nausea,C0007297,C0027497
1107.75,113.9133443,catatonia,lethargy,C0007398,C0023380
753.5,575.1918521,catatonia,narcan,C0007398,C0027358
1122.25,175.9495666,cefaclor,cefoxitin,C0007537,C0007557
345,273.3105682,cholelithiasis,bronchitis,C0008350,C0006277
884.5,431.2342751,catapres,toprol,C0009014,C0025859
917,482.1044147,clonus,spasm,C0009024,C0037763
752,272.4053352,clonus,wellbutrin,C0009024,C0085208
311,79.52777293,cluttering,nitroglycerine,C0009090,C0017887
669,313.227287,cluttering,mannerism,C0009090,C0233576
1273,126.4383908,coccidioidomycosis,histoplasmosis,C0009186,C0019655
1119.75,429.2414822,codeine,robitussin,C0009214,C0011816
1209.75,142.8714457,codeine,narcan,C0009214,C0027358
772.25,199.8972653,colchicine,prednisolone,C0009262,C0032950
1307.75,295.2697919,colchicine,probenecid,C0009262,C0033209
362.75,93.30728803,colitis,epilepsy,C0009319,C0014544
1099.5,507.2944576,comatose,anoxia,C0009421,C0003129
1313.5,169.1104176,comatose,hyperglycemia,C0009421,C0020456
330.25,376.7292352,comatose,cataracts,C0009421,C0086543
1023.5,530.5032202,constipation,diarrhea,C0009806,C0011991
662.5,260.4681682,constipation,calan,C0009806,C0042523
1306.25,56.84115293,convulsion,ethanol,C0009951,C0001962
1386.75,31.6478014,convulsion,epilepsy,C0009951,C0014544
831,407.2206609,convulsion,wellbutrin,C0009951,C0085208
409.75,291.7480363,cortisone,adenosine,C0010137,C0001443
601.75,270.4137262,sandimmune,prednisolone,C0010592,C0032950
438.75,314.1670203,deafness,blepharospasm,C0011053,C0005747
1072.5,466.0475655,deafness,otitis,C0011053,C0029877
1299.25,179.1747285,dehydration,dysentery,C0011175,C0013369
1427.75,99.55693513,dehydration,gastroenteritis,C0011175,C0017160
1163.75,251.8748036,dehydration,starvation,C0011175,C0038187
1028.75,296.3976777,dehydration,syncope,C0011175,C0039070
1286.25,255.6812795,dermatitis,aloe,C0011603,C0995182
1258.25,154.2279158,dermatitis,allergy,C0011603,C1998461
1255.25,94.4117754,dermatomyositis,myopathy,C0011633,C0026848
615.75,547.0145489,diabetes,codeine,C0011847,C0009214
1279.25,154.4870545,diabetes,hyperglycemia,C0011847,C0020456
1485,81.6986332,diabetes,insulin,C0011847,C0021641
1439.75,155.4828501,diabetes,polyuria,C0011847,C0032617
1099.5,381.8258765,diabetes,prednisolone,C0011847,C0032950
787.5,351.4868419,diabetes,psoriasis,C0011847,C0033860
1459.5,74.95109517,diabetes,polydipsia,C0011847,C0085602
1394.75,103.8408237,diabetes,ketonuria,C0011847,C0162275
947.25,509.1675396,diarrhea,colchicine,C0011991,C0009262
1231.25,240.7410434,dizziness,fatigue,C0012833,C0015672
1398.25,123.0646849,dizziness,vertigo,C0012833,C0042571
522,194.9991453,dobutamine,oxycontin,C0012963,C0030049
943.5,387.7236989,drooling,sinemet,C0013132,C0006982
465,338.8726408,drooling,chills,C0013132,C0085593
1157,379.6533507,dysentery,dizziness,C0013369,C0012833
257,65.26867549,dysentery,esmolol,C0013369,C0116569
1414.75,132.9620873,dyspnea,cyanosis,C0013404,C0010520
919.5,441.7710568,dyspnea,medrol,C0013404,C0025815
1064.5,521.7869936,dyspnea,narcan,C0013404,C0027358
1146.75,520.7695428,dyspnea,spiriva,C0013404,C0213771
664,443.040254,dyspnea,penicillin,C0013404,C0220892
1061,508.9289407,dysuria,cipro,C0013428,C0008809
593.5,484.9058328,dysuria,hemoptysis,C0013428,C0019079
415,285.3734395,dysuria,plavix,C0013428,C0070166
253.25,62.15236654,earache,crowning,C0013456,C0233212
708.75,397.5167711,emaciation,carboplatin,C0013911,C0079083
