Mean,Stdev,Term1,Term2,CUI1,CUI2
1067,121.427619,tylenol,motrin,C0000970,C0020740
256.25,247.6157978,acetylcysteine,adenosine,C0001047,C0001443
666.25,307.0259218,adenitis,stridor,C0001416,C0038450
933.25,312.9359626,agranulocytosis,anemia,C0001824,C0002871
377.5,174.6281764,albumin,heparin,C0001924,C0019134
1265.5,323.1692023,ethanol,alcohol,C0001962,C0001975
743,442.1651275,alcohol,antabuse,C0001975,C0012772
1142.25,38.94761439,allopurinol,colchicine,C0002144,C0009262
1269,88.9156904,xanax,ativan,C0002333,C0024002
1193,137.0571657,amantadine,tamiflu,C0002403,C0874161
623.75,337.3755326,anemia,coumadin,C0002871,C0043031
539.5,404.6772376,anemia,plavix,C0002871,C0070166
897,322.615354,anemia,reticulocytosis,C0002871,C0206160
231.25,171.0835566,aneurysm,osteoporosis,C0002940,C0029456
270.75,143.8873981,angina,diarrhea,C0002962,C0011991
642.25,337.4071477,angina,dyspnea,C0002962,C0013404
673.75,375.9657564,angina,plavix,C0002962,C0070166
666.25,362.9649891,angina,corkscrewing,C0002962,C0231618
845,270.9403378,anosmia,aphonia,C0003126,C0003564
244.25,216.6554484,anosmia,constipation,C0003126,C0009806
293,168.2319827,anosmia,digoxin,C0003126,C0012265
274.5,220.4820476,anosmia,catch,C0003126,C0231617
1099.5,104.4302,anovulation,amenorrhoea,C0003128,C0002453
326.25,177.9463871,anovulation,sinemet,C0003128,C0006982
574,388.8915873,anovulation,emaciation,C0003128,C0013911
228,169.085777,anovulation,torticollis,C0003128,C0040485
662.75,464.621979,anovulation,carboplatin,C0003128,C0079083
558.25,299.9681928,anovulation,mittelschmerz,C0003128,C0152149
496.75,457.8321199,anoxia,ataxia,C0003129,C0004134
477.75,396.455441,anoxia,propofol,C0003129,C0033487
748,386.9995693,anoxia,seizures,C0003129,C0036572
214.25,79.18070051,aphonia,mittelschmerz,C0003564,C0152149
889.5,402.4462697,appendicitis,cefazolin,C0003615,C0007546
934.75,330.2770302,appendicitis,peritonitis,C0003615,C0031154
510.25,415.8640603,arteriosclerosis,cholestyramine,C0003850,C0008402
869.25,368.6636905,arthralgia,tylenol,C0003862,C0000970
763.5,407.1572178,arthralgia,neuralgia,C0003862,C0027796
1206.25,216.1054912,arthralgia,pain,C0003862,C0030193
317.5,93.18619354,arthralgia,clubbing,C0003862,C0149651
201,96.66781609,arthralgia,chyluria,C0003862,C0159075
724.25,347.9879069,arthritis,amyloidoses,C0003864,C0002726
1091,226.7744842,arthritis,arthralgia,C0003864,C0003862
769,402.5352987,arthritis,metatarsalgia,C0003864,C0025587
1153.25,61.27737483,arthritis,rheumatism,C0003864,C0035435
618.5,198.7100065,arthritis,cirrhosis,C0003864,C1623038
286,195.7089676,asthma,urolithiasis,C0004096,C0451641
