ICD9 Systems,BeamCui2Vec500,NegControl500,Examples in System
infectious and parasitic disease,0.93088,0.04839,434.0000001
neoplasms,0.94000,0.01000,100.0000001
endocrine  nutritional and metabolic diseases  and immunity disorders,0.89205,0.01705,176.0000001
diseases of the blood and blood-forming organs,0.81967,0.06557,61.0000001
mental disorders,0.96094,0.06250,128.0000001
diseases of the nervous system and sense organs,0.86691,0.03597,278.0000001
diseases of the circulatory system,0.95793,0.04207,309.0000001
diseases of the respiratory system,0.93860,0.05263,114.0000001
diseases of the digestive system,0.77358,0.00629,159.0000001
diseases of the genitourinary system,0.85870,0.07065,184.0000001
complications of pregnancy  childbirth  and the puerperium,1.00000,0.00000,7.0000001
diseases of the skin and subcutanous tissue,0.81176,0.08235,85.0000001
diseases of the musculoskeletal system and connective tissue,0.88288,0.03604,111.0000001
congenital anomalies,0.72727,0.09091,11.0000001
certain conditions originating in the perinatal period,0.66667,0.00000,3.0000001
symptoms  signs  and ill-defined conditions,0.76871,0.06122,147.0000001
injury and poisoning,0.75000,0.08929,56.0000001
