ICD9 System,BeamCui2Vec500, Examples in System
all,55.07, 12159
infectious and parasitic disease,45.21, 1261
neoplasms,62.12, 1017
endocrine  nutritional and metabolic diseases  and immunity disorders,43.57, 333
diseases of the blood and blood-forming organs,31.26, 129
mental disorders,52.76, 469
diseases of the nervous system and sense organs,75.81, 1383
diseases of the circulatory system,58.6, 493
diseases of the respiratory system,36.5, 244
diseases of the digestive system,60.6, 609
diseases of the genitourinary system,61.2, 395
complications of pregnancy  childbirth  and the puerperium,51.27, 1101
diseases of the skin and subcutanous tissue,37.16, 201
diseases of the musculoskeletal system and connective tissue,47.09, 884
congenital anomalies,50.39, 423
certain conditions originating in the perinatal period,48.4, 292
symptoms  signs  and ill-defined conditions,26.39, 325
injury and poisoning,58.77, 2600
