ICD9 Systems,BeamCui2Vec500,NegControl500,Examples in System
infectious and parasitic disease,92.40,30.18,434
neoplasms,55.00,34.00,100
endocrine  nutritional and metabolic diseases  and immunity disorders,52.84,25.00,176
diseases of the blood and blood-forming organs,78.69,22.95,61
mental disorders,82.81,22.66,128
diseases of the nervous system and sense organs,32.73,14.39,278
diseases of the circulatory system,71.52,27.51,309
diseases of the respiratory system,81.58,28.95,114
diseases of the digestive system,61.64,33.96,159
diseases of the genitourinary system,58.15,28.26,184
complications of pregnancy  childbirth  and the puerperium,14.29,0.00,7
diseases of the skin and subcutanous tissue,57.65,17.65,85
diseases of the musculoskeletal system and connective tissue,28.83,24.32,111
congenital anomalies,72.73,18.18,11
certain conditions originating in the perinatal period,0.00,0.00,3
symptoms  signs  and ill-defined conditions,56.46,19.05,147
injury and poisoning,0.00,14.29,56
