ICD9 Systems,DeVine200,Examples in System
infectious and parasitic disease,0.26329,395
neoplasms,0.12222,90
endocrine  nutritional and metabolic diseases  and immunity disorders,0.15033,153
diseases of the blood and blood-forming organs,0.12963,54
mental disorders,0.07619,105
diseases of the nervous system and sense organs,0.11245,249
diseases of the circulatory system,0.16850,273
diseases of the respiratory system,0.20238,84
diseases of the digestive system,0.15333,150
diseases of the genitourinary system,0.09317,161
complications of pregnancy  childbirth  and the puerperium,0.14286,7
diseases of the skin and subcutanous tissue,0.18072,83
diseases of the musculoskeletal system and connective tissue,0.06173,81
congenital anomalies,0.00000,11
certain conditions originating in the perinatal period,0.00000,3
symptoms  signs  and ill-defined conditions,0.02206,136
injury and poisoning,0.21154,52
