ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,Examples in System
infectious and parasitic disease,68.26,87.43,80.24,78.14,334.0001
neoplasms,53.45,93.97,84.48,84.48,116.0001
endocrine  nutritional and metabolic diseases  and immunity disorders,56.48,53.89,61.14,35.23,193.0001
diseases of the blood and blood-forming organs,82.72,88.89,83.95,87.65,81.0001
mental disorders,99.39,98.79,95.15,100.00,165.0001
diseases of the nervous system and sense organs,71.43,99.31,91.94,91.94,434.0001
diseases of the circulatory system,100.00,100.00,96.09,99.67,307.0001
diseases of the respiratory system,76.52,81.82,76.52,91.67,132.0001
diseases of the digestive system,52.86,39.52,72.38,48.57,210.0001
diseases of the genitourinary system,97.62,89.52,84.29,92.38,210.0001
complications of pregnancy  childbirth  and the puerperium,100.00,100.00,100.00,100.00,10.0001
diseases of the skin and subcutanous tissue,68.63,80.39,80.39,73.53,102.0001
diseases of the musculoskeletal system and connective tissue,99.40,99.40,92.26,98.81,168.0001
congenital anomalies,97.03,100.00,99.01,100.00,101.0001
certain conditions originating in the perinatal period,100.00,100.00,100.00,100.00,11.0001
symptoms  signs  and ill-defined conditions,94.20,83.04,85.27,92.41,224.0001
injury and poisoning,95.35,94.19,91.86,96.51,86.0001
