ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,Examples in System
infectious and parasitic disease,0.00,5.26,1.05,5.26,95.0001
neoplasms,1.47,1.47,0.00,0.00,68.0001
endocrine  nutritional and metabolic diseases  and immunity disorders,1.10,1.10,0.00,0.00,91.0001
diseases of the blood and blood-forming organs,2.08,0.00,0.00,0.00,48.0001
mental disorders,0.00,0.00,0.00,0.00,73.0001
diseases of the nervous system and sense organs,4.73,2.55,6.18,2.91,275.0001
diseases of the circulatory system,1.64,1.64,4.10,1.64,122.0001
diseases of the respiratory system,2.74,2.74,1.37,1.37,73.0001
diseases of the digestive system,0.00,0.92,0.92,0.00,109.0001
diseases of the genitourinary system,0.99,0.00,0.99,0.00,101.0001
complications of pregnancy  childbirth  and the puerperium,0.00,0.00,0.00,0.00,10.0001
diseases of the skin and subcutanous tissue,1.75,0.00,3.51,0.00,57.0001
diseases of the musculoskeletal system and connective tissue,0.00,0.00,0.00,0.00,100.0001
congenital anomalies,4.35,1.09,0.00,2.17,92.0001
certain conditions originating in the perinatal period,0.00,0.00,0.00,0.00,11.0001
symptoms  signs  and ill-defined conditions,5.93,4.44,4.44,4.44,135.0001
injury and poisoning,1.67,3.33,1.67,1.67,60.0001
