ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,Examples in System
infectious and parasitic disease,8.42,4.21,3.16,3.16,95.0001
neoplasms,2.94,7.35,5.88,11.76,68.0001
endocrine  nutritional and metabolic diseases  and immunity disorders,8.79,6.59,10.99,7.69,91.0001
diseases of the blood and blood-forming organs,6.25,4.17,6.25,2.08,48.0001
mental disorders,4.11,13.70,9.59,6.85,73.0001
diseases of the nervous system and sense organs,2.55,5.09,3.27,4.36,275.0001
diseases of the circulatory system,5.74,1.64,6.56,8.20,122.0001
diseases of the respiratory system,13.70,10.96,4.11,4.11,73.0001
diseases of the digestive system,2.75,5.50,1.83,3.67,109.0001
diseases of the genitourinary system,2.97,6.93,3.96,8.91,101.0001
complications of pregnancy  childbirth  and the puerperium,0.00,10.00,0.00,10.00,10.0001
diseases of the skin and subcutanous tissue,8.77,1.75,3.51,5.26,57.0001
diseases of the musculoskeletal system and connective tissue,1.00,5.00,3.00,8.00,100.0001
congenital anomalies,9.78,4.35,5.43,9.78,92.0001
certain conditions originating in the perinatal period,0.00,9.09,18.18,0.00,11.0001
symptoms  signs  and ill-defined conditions,7.41,5.19,4.44,5.93,135.0001
injury and poisoning,6.67,3.33,6.67,13.33,60.0001
