ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,Examples in System
infectious and parasitic disease,31.38,46.86,55.23,41.84,239.0001
neoplasms,18.75,25.00,18.75,14.58,48.0001
endocrine  nutritional and metabolic diseases  and immunity disorders,17.65,11.76,4.90,21.57,102.0001
diseases of the blood and blood-forming organs,33.33,39.39,18.18,48.48,33.0001
mental disorders,0.00,26.09,9.78,4.35,92.0001
diseases of the nervous system and sense organs,21.38,33.96,23.27,22.01,159.0001
diseases of the circulatory system,10.27,21.62,17.84,46.49,185.0001
diseases of the respiratory system,5.08,23.73,16.95,3.39,59.0001
diseases of the digestive system,4.95,6.93,36.63,11.88,101.0001
diseases of the genitourinary system,45.87,27.52,29.36,47.71,109.0001
complications of pregnancy  childbirth  and the puerperium,0.00,0.00,0.00,0.00,0.0001
diseases of the skin and subcutanous tissue,4.44,11.11,8.89,11.11,45.0001
diseases of the musculoskeletal system and connective tissue,44.12,10.29,27.94,50.00,68.0001
congenital anomalies,22.22,33.33,33.33,33.33,9.0001
certain conditions originating in the perinatal period,0.00,0.00,0.00,0.00,0.0001
symptoms  signs  and ill-defined conditions,47.19,7.87,21.35,29.21,89.0001
injury and poisoning,34.62,7.69,19.23,34.62,26.0001
