ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,Examples in System
infectious and parasitic disease,55.65,24.69,37.66,50.21,239.0001
neoplasms,56.25,31.25,25.00,64.58,48.0001
endocrine  nutritional and metabolic diseases  and immunity disorders,42.16,42.16,15.69,56.86,102.0001
diseases of the blood and blood-forming organs,33.33,3.03,33.33,12.12,33.0001
mental disorders,0.00,35.87,34.78,53.26,92.0001
diseases of the nervous system and sense organs,7.55,25.79,23.90,18.24,159.0001
diseases of the circulatory system,7.03,21.62,20.00,5.95,185.0001
diseases of the respiratory system,20.34,10.17,13.56,22.03,59.0001
diseases of the digestive system,63.37,31.68,29.70,42.57,101.0001
diseases of the genitourinary system,43.12,34.86,35.78,29.36,109.0001
complications of pregnancy  childbirth  and the puerperium,0.00,0.00,0.00,0.00,0.0001
diseases of the skin and subcutanous tissue,4.44,17.78,28.89,22.22,45.0001
diseases of the musculoskeletal system and connective tissue,22.06,55.88,19.12,19.12,68.0001
congenital anomalies,66.67,11.11,77.78,0.00,9.0001
certain conditions originating in the perinatal period,0.00,0.00,0.00,0.00,0.0001
symptoms  signs  and ill-defined conditions,59.55,29.21,25.84,4.49,89.0001
injury and poisoning,0.00,50.00,19.23,38.46,26.0001
