ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,Examples in System
infectious and parasitic disease,28.03,22.18,23.01,31.38,239.0001
neoplasms,43.75,27.08,41.67,27.08,48.0001
endocrine  nutritional and metabolic diseases  and immunity disorders,17.65,23.53,18.63,14.71,102.0001
diseases of the blood and blood-forming organs,12.12,21.21,15.15,24.24,33.0001
mental disorders,13.04,30.43,16.30,13.04,92.0001
diseases of the nervous system and sense organs,18.24,18.24,22.64,13.84,159.0001
diseases of the circulatory system,18.92,17.84,24.32,16.22,185.0001
diseases of the respiratory system,28.81,15.25,38.98,30.51,59.0001
diseases of the digestive system,35.64,20.79,36.63,33.66,101.0001
diseases of the genitourinary system,24.77,25.69,34.86,22.02,109.0001
complications of pregnancy  childbirth  and the puerperium,0.00,0.00,0.00,0.00,0.0001
diseases of the skin and subcutanous tissue,28.89,28.89,13.33,22.22,45.0001
diseases of the musculoskeletal system and connective tissue,32.35,25.00,8.82,22.06,68.0001
congenital anomalies,0.00,11.11,33.33,55.55,9.0001
certain conditions originating in the perinatal period,0.00,0.00,0.00,0.00,0.0001
symptoms  signs  and ill-defined conditions,14.61,26.97,20.22,22.47,89.0001
injury and poisoning,7.69,19.23,34.62,19.23,26.0001
