ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,Examples in System
infectious and parasitic disease,98.95,100.00,97.89,100.00,95.0001
neoplasms,89.71,100.00,98.53,100.00,68.0001
endocrine  nutritional and metabolic diseases  and immunity disorders,57.14,84.62,84.62,38.46,91.0001
diseases of the blood and blood-forming organs,97.92,100.00,93.75,100.00,48.0001
mental disorders,98.63,98.63,100.00,100.00,73.0001
diseases of the nervous system and sense organs,98.18,100.00,94.91,100.00,275.0001
diseases of the circulatory system,100.00,100.00,99.18,100.00,122.0001
diseases of the respiratory system,82.19,97.26,94.52,100.00,73.0001
diseases of the digestive system,70.64,76.15,92.66,82.57,109.0001
diseases of the genitourinary system,96.04,98.02,94.06,99.01,101.0001
complications of pregnancy  childbirth  and the puerperium,90.00,100.00,100.00,90.00,10.0001
diseases of the skin and subcutanous tissue,100.00,98.25,100.00,98.25,57.0001
diseases of the musculoskeletal system and connective tissue,100.00,100.00,96.00,100.00,100.0001
congenital anomalies,100.00,100.00,98.91,100.00,92.0001
certain conditions originating in the perinatal period,100.00,100.00,100.00,100.00,11.0001
symptoms  signs  and ill-defined conditions,96.30,91.85,94.07,100.00,135.0001
injury and poisoning,90.00,88.33,86.67,100.00,60.0001
