ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,NegControl500,Examples in System
infectious and parasitic disease,88.70,83.26,74.48,90.79,33.89,239
neoplasms,87.50,79.17,83.33,87.50,8.33,48
endocrine  nutritional and metabolic diseases  and immunity disorders,59.80,39.22,70.59,73.53,24.51,102
diseases of the blood and blood-forming organs,66.67,21.21,60.61,72.73,30.30,33
mental disorders,82.61,78.26,41.30,97.83,19.57,92
diseases of the nervous system and sense organs,26.42,64.15,42.14,30.82,22.64,159
diseases of the circulatory system,84.86,63.78,74.59,84.86,28.11,185
diseases of the respiratory system,76.27,64.41,66.10,88.14,20.34,59
diseases of the digestive system,66.34,67.33,47.52,74.26,45.54,101
diseases of the genitourinary system,36.70,56.88,34.86,66.97,22.94,109
complications of pregnancy  childbirth  and the puerperium,0.00,0.00,0.00,0.00,0.00,0
diseases of the skin and subcutanous tissue,62.22,62.22,46.67,57.78,28.89,45
diseases of the musculoskeletal system and connective tissue,10.29,79.41,67.65,44.12,38.24,68
congenital anomalies,0.00,11.11,66.67,66.67,0.00,9
certain conditions originating in the perinatal period,0.00,0.00,0.00,0.00,0.00,0
symptoms  signs  and ill-defined conditions,58.43,42.70,64.04,66.29,31.46,89
injury and poisoning,42.31,38.46,23.08,42.31,15.38,26
