ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,NegControl500,Examples in System
infectious and parasitic disease,64.02,77.41,79.08,73.22,72.38,239
neoplasms,47.92,66.67,58.33,79.17,91.67,48
endocrine  nutritional and metabolic diseases  and immunity disorders,63.73,55.88,61.76,54.90,33.33,102
diseases of the blood and blood-forming organs,72.73,81.82,60.61,72.73,60.61,33
mental disorders,69.57,100.00,83.70,94.57,89.13,92
diseases of the nervous system and sense organs,90.57,98.74,88.05,91.82,88.68,159
diseases of the circulatory system,95.68,96.22,77.84,93.51,81.08,185
diseases of the respiratory system,45.76,84.75,54.24,59.32,76.27,59
diseases of the digestive system,30.69,23.76,73.27,33.66,22.77,101
diseases of the genitourinary system,77.98,81.65,67.89,81.65,80.73,109
complications of pregnancy  childbirth  and the puerperium,0.00,0.00,0.00,0.00,0.00,0
diseases of the skin and subcutanous tissue,44.44,88.89,82.22,66.67,84.44,45
diseases of the musculoskeletal system and connective tissue,95.59,76.47,76.47,94.12,85.29,68
congenital anomalies,100.00,100.00,100.00,100.00,77.78,9
certain conditions originating in the perinatal period,0.00,0.00,0.00,0.00,0.00,0
symptoms  signs  and ill-defined conditions,88.76,46.07,69.66,71.91,82.02,89
injury and poisoning,80.77,57.69,76.92,80.77,65.38,26
