ICD9 System,BeamCui2Vec500, Examples in System
all,25.55, 419
infectious and parasitic disease,29.95, 419
neoplasms,59.12, 419
endocrine  nutritional and metabolic diseases  and immunity disorders,21.26, 419
diseases of the blood and blood-forming organs,20.02, 419
mental disorders,10.88, 419
diseases of the nervous system and sense organs,31.16, 419
diseases of the circulatory system,26.9, 419
diseases of the respiratory system,27.2, 419
diseases of the digestive system,40.58, 419
diseases of the genitourinary system,7.33, 419
complications of pregnancy  childbirth  and the puerperium,26.67, 419
diseases of the skin and subcutanous tissue,7.69, 419
diseases of the musculoskeletal system and connective tissue,23.7, 419
congenital anomalies,nan, 419
certain conditions originating in the perinatal period,100.0, 419
symptoms  signs  and ill-defined conditions,16.68, 419
injury and poisoning,0.59, 419
